customer_id,age,tenure_months,contract_type,internet_service,payment_method,monthly_charges,total_charges,tech_support,online_security,paperless_billing,num_support_calls,satisfaction_score,churn
1,56,38,Month-to-month,No,Bank transfer,72.54,2683.67,Yes,No,No,4,4.4,Yes
2,69,48,Two year,DSL,Credit card,76.44,3562.17,No,Yes,Yes,4,3.2,No
3,46,2,Month-to-month,DSL,Bank transfer,90.43,214.41,Yes,Yes,Yes,1,2.5,No
4,32,25,Month-to-month,DSL,Credit card,142.63,3586.87,No,No,No,2,4.2,No
5,60,40,Two year,No,Credit card,100.34,4039.95,Yes,No,Yes,1,1.3,Yes
6,25,64,Month-to-month,Fiber optic,Credit card,148.9,9484.92,No,No,Yes,3,3.4,No
7,38,15,Month-to-month,Fiber optic,Mailed check,145.31,2206.16,No,No,Yes,0,1.0,No
8,56,57,Month-to-month,Fiber optic,Electronic check,130.6,7368.51,Yes,Yes,No,0,3.1,No
9,36,34,Month-to-month,Fiber optic,Credit card,109.38,3732.91,Yes,No,Yes,0,1.2,No
10,40,15,Month-to-month,No,Credit card,46.3,687.45,Yes,No,Yes,1,4.6,No
11,28,32,Month-to-month,DSL,Bank transfer,92.35,3045.76,Yes,Yes,Yes,1,3.6,Yes
12,28,30,Month-to-month,Fiber optic,Mailed check,46.56,1383.98,No,No,No,2,2.2,No
13,41,21,Month-to-month,Fiber optic,Electronic check,143.82,2938.39,Yes,Yes,Yes,1,1.4,No
14,70,60,Month-to-month,DSL,Bank transfer,144.44,8655.55,Yes,Yes,No,1,2.2,No
15,53,63,One year,DSL,Mailed check,59.9,3812.31,Yes,No,No,2,1.7,No
16,57,69,Month-to-month,DSL,Bank transfer,21.49,1392.54,Yes,Yes,No,2,2.3,Yes
17,41,34,Two year,Fiber optic,Credit card,126.75,4284.53,No,No,No,1,4.2,Yes
18,20,38,One year,DSL,Credit card,62.53,2365.03,Yes,No,No,3,1.0,No
19,39,2,One year,Fiber optic,Mailed check,58.13,66.24,No,No,Yes,0,3.2,Yes
20,70,12,Month-to-month,Fiber optic,Bank transfer,93.29,1134.72,Yes,Yes,Yes,2,1.6,No
